City Number,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed
0,butaritari,3.0707,172.7902,83.37,76,11,12.75
1,norman wells,65.282,-126.8329,55.4,66,75,10.29
2,kapaa,22.0752,-159.319,80.6,69,40,12.75
3,cidreira,-30.1811,-50.2056,55.96,80,100,9.04
4,chokurdakh,70.6333,147.9167,41.0,93,99,9.13
5,rovaniemi,66.5,25.7167,50.0,100,90,9.17
6,mar del plata,-38.0023,-57.5575,46.0,75,90,4.7
7,busselton,-33.65,115.3333,61.0,61,100,12.39
8,victoria,22.2855,114.1577,91.0,69,99,13.44
9,east london,-33.0153,27.9116,59.0,67,58,25.28
10,butterworth,5.3991,100.3638,86.0,74,20,2.24
11,salalah,17.0151,54.0924,82.4,83,90,3.36
12,ust-tsilma,65.441,52.1498,72.59,53,57,9.69
13,hobart,-42.8794,147.3294,48.99,57,75,9.17
14,provideniya,64.3833,-173.3,44.6,93,90,6.71
15,mount isa,-20.7333,139.5,75.2,15,0,6.93
16,ushuaia,-54.8,-68.3,35.6,74,20,12.75
17,cabo san lucas,22.8909,-109.9124,89.6,35,40,10.38
18,puerto escondido,15.85,-97.0667,81.54,77,100,10.78
19,kanchanaburi,14.6333,99.1,86.72,62,93,2.24
20,la ronge,55.1001,-105.2842,66.2,55,20,2.24
21,tashtyp,52.7939,89.8983,72.12,53,56,12.12
22,katete,-0.7818,29.7544,63.7,64,73,2.51
23,thompson,55.7435,-97.8558,62.6,72,20,4.7
24,hermanus,-34.4187,19.2345,57.0,66,79,4.0
25,bengkulu,-3.8004,102.2655,89.89,53,84,2.26
26,albany,42.6001,-73.9662,70.0,95,3,6.44
27,xiongyue,40.1774,122.1228,79.18,63,39,11.07
28,qaanaaq,77.484,-69.3632,42.93,63,0,0.63
29,punta arenas,-53.15,-70.9167,26.6,92,14,2.24
30,tasiilaq,65.6145,-37.6368,37.4,93,2,6.93
31,hithadhoo,-0.6,73.0833,84.2,74,100,16.84
32,padang,-0.9492,100.3543,85.24,64,51,5.17
33,poronaysk,49.2167,143.1167,65.21,74,28,15.14
34,lesogorskiy,61.0455,28.9294,55.0,86,59,1.01
35,mareeba,-17.0,145.4333,80.6,51,40,17.22
36,sabzevar,36.2126,57.6819,77.31,13,19,11.01
37,tutoia,-2.7619,-42.2744,76.35,89,99,8.55
38,tuktoyaktuk,69.4541,-133.0374,41.0,93,75,8.05
39,nueva loja,0.0847,-76.8828,70.93,88,88,1.79
40,rikitea,-23.1203,-134.9692,73.22,81,99,12.71
41,hilo,19.7297,-155.09,80.6,65,75,5.82
42,pitimbu,-7.4706,-34.8086,74.23,84,6,10.33
43,antalaha,-14.9003,50.2788,71.35,92,94,11.86
44,bathsheba,13.2167,-59.5167,80.6,83,75,20.8
45,avarua,-21.2078,-159.775,73.4,78,98,12.75
46,dali,25.7,100.1833,72.14,41,100,5.28
47,vestmanna,62.1564,-7.1664,44.6,81,92,19.46
48,georgetown,5.4112,100.3354,86.0,74,20,2.24
49,faya,18.3851,42.4509,71.6,60,69,3.78
50,khash,28.2211,61.2158,85.75,10,0,7.58
51,castro,-24.7911,-50.0119,57.34,72,68,5.37
52,fairbanks,64.8378,-147.7164,72.0,49,75,5.82
53,sharjah,25.3573,55.4033,91.4,42,40,3.36
54,martapura,-3.4167,114.85,86.0,74,20,5.82
55,ginda,30.6945,78.4932,82.4,78,75,3.36
56,komsomolskiy,40.4272,71.7189,80.6,28,0,2.24
57,adrar,20.5022,-10.0711,87.4,32,0,10.63
58,cape town,-33.9258,18.4232,57.2,62,40,6.93
59,nabire,-3.3667,135.4833,85.82,61,100,4.07
60,dikson,73.5069,80.5464,50.65,60,32,15.1
61,nichinan,31.6,131.3667,84.2,89,75,8.05
62,bethel,41.3712,-73.414,69.01,88,1,6.93
63,kruisfontein,-34.0033,24.7314,53.92,76,40,15.9
64,olafsvik,64.8945,-23.7142,51.03,70,78,6.93
65,maniitsoq,65.4167,-52.9,41.16,94,100,17.9
66,port elizabeth,-33.918,25.5701,60.8,67,34,24.16
67,haines junction,60.7522,-137.5108,60.66,37,79,6.38
68,ifakara,-8.1333,36.6833,70.09,50,90,3.42
69,atuona,-9.8,-139.0333,80.04,70,3,11.48
70,lapeer,43.0514,-83.3188,71.01,100,1,6.2
71,ulkan,57.243,107.3223,77.67,31,100,5.1
72,jamestown,42.097,-79.2353,73.4,73,1,4.7
73,lorengau,-2.0226,147.2712,85.3,72,30,11.77
74,onega,63.9061,38.1404,59.11,64,59,9.26
75,sazonovo,59.0919,35.2268,57.9,94,100,0.4
76,arraial do cabo,-22.9661,-42.0278,71.74,89,0,12.33
77,kamyaran,34.7956,46.9355,75.2,25,40,11.41
78,jalu,29.0331,21.5482,68.58,90,0,7.61
79,kulhudhuffushi,6.6221,73.07,83.1,68,100,4.63
80,upernavik,72.7868,-56.1549,41.81,71,86,9.84
81,hue,16.4667,107.6,95.0,53,20,5.82
82,torrington,41.8007,-73.1212,66.0,95,74,5.21
83,vaini,-21.2,-175.2,78.8,83,75,10.29
84,raudeberg,61.9875,5.1352,46.4,87,40,1.12
85,saskylakh,71.9167,114.0833,60.67,46,21,13.09
86,bredasdorp,-34.5322,20.0403,55.4,76,42,9.17
87,henties bay,-22.116,14.2845,53.01,93,0,5.01
88,tautira,-17.7333,-149.15,80.6,74,75,5.82
89,ribeira grande,38.5167,-28.7,68.11,88,4,11.16
90,longyearbyen,78.2186,15.6401,51.8,71,75,25.28
91,talnakh,69.4865,88.3972,68.0,60,89,6.71
92,mokhsogollokh,61.4681,128.9203,71.31,36,10,4.32
93,pontianak,-0.0333,109.3333,75.83,92,100,8.61
94,kaeo,-35.1,173.7833,57.99,3,10,5.01
95,puerto ayora,-0.7393,-90.3518,68.0,96,93,7.02
96,hami,42.8,93.45,91.72,15,23,9.95
97,uyo,5.0333,7.9266,73.13,95,98,3.11
98,mahebourg,-20.4081,57.7,73.4,94,75,9.17
99,chapais,49.7834,-74.8492,68.0,52,1,11.41
100,najran,17.4924,44.1277,84.2,30,20,2.24
101,faanui,-16.4833,-151.75,78.75,77,35,13.51
102,lufilufi,-13.8745,-171.5986,82.71,79,11,18.03
103,naranjal,-2.6667,-79.6167,73.4,78,20,11.41
104,arlit,18.7369,7.3853,87.48,11,0,7.09
105,ballina,-28.8667,153.5667,66.2,72,90,12.75
106,nikolskoye,59.7035,30.7861,62.01,82,75,4.47
107,grindavik,63.8424,-22.4338,46.4,100,92,3.36
108,yellowknife,62.456,-114.3525,62.6,48,40,14.99
109,touros,-5.1989,-35.4608,71.6,100,75,3.36
110,hasaki,35.7333,140.8333,86.0,83,75,23.04
