City Number,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country
0,avarua,-21.2078,-159.775,78.8,65,85,18.34,CK
1,baykit,61.67,96.37,56.86,67,72,10.36,RU
2,bako,5.7833,36.5667,63.81,57,100,3.47,ET
3,east london,-33.0153,27.9116,73.17,34,98,14.83,ZA
4,bredasdorp,-34.5322,20.0403,50.0,66,100,3.36,ZA
5,middleton,53.55,-2.2,55.99,97,100,9.89,GB
6,broome,42.2506,-75.833,75.99,78,1,4.7,US
7,pevek,69.7008,170.3133,47.84,71,0,3.31,RU
8,albany,42.6001,-73.9662,75.0,89,0,2.86,US
9,kaabong,3.4836,34.1492,63.27,53,51,5.01,UG
10,mount isa,-20.7333,139.5,73.4,49,1,17.22,AU
11,carnarvon,-24.8667,113.6333,53.6,76,0,10.29,AU
12,custoias,41.1053,-7.321,64.99,8,0,3.85,PT
13,sioux lookout,50.1001,-91.917,82.4,54,40,6.93,CA
14,bloemfontein,-29.1211,26.214,41.0,80,0,5.82,ZA
15,klaksvik,62.2266,-6.589,50.0,87,51,6.93,FO
16,ushuaia,-54.8,-68.3,39.2,64,75,4.7,AR
17,busselton,-33.65,115.3333,46.99,95,23,5.35,AU
18,pangkalanbuun,-2.6833,111.6167,77.38,93,100,5.19,ID
19,rikitea,-23.1203,-134.9692,68.36,63,7,19.15,PF
20,cape town,-33.9258,18.4232,64.99,34,100,19.46,ZA
21,hobart,-42.8794,147.3294,44.6,75,75,5.82,AU
22,mehamn,71.0357,27.8492,48.52,90,100,3.18,NO
23,mataura,-46.1927,168.8643,42.35,91,100,6.29,NZ
24,longyearbyen,78.2186,15.6401,44.6,81,75,2.24,SJ
25,georgetown,5.4112,100.3354,80.6,88,20,2.24,MY
26,dunedin,-45.8742,170.5036,46.99,78,100,4.0,NZ
27,fort nelson,58.8053,-122.7002,57.2,93,90,10.29,CA
28,gornja koprivna,45.0119,15.9572,54.0,93,0,1.61,BA
29,barrow,71.2906,-156.7887,46.4,70,1,18.34,US
30,tasiilaq,65.6145,-37.6368,41.0,86,0,8.05,GL
31,porto seguro,-16.4497,-39.0647,68.0,94,40,2.24,BR
32,limon,10.0,-83.0333,80.6,83,75,3.36,CR
33,alta floresta,-9.8756,-56.0861,74.55,53,0,3.27,BR
34,sao joao da barra,-21.6403,-41.0511,71.73,77,0,16.35,BR
35,montanha,-18.1269,-40.3633,66.47,81,0,5.7,BR
36,somerset,40.5668,-74.5496,77.0,100,90,5.68,US
37,leh,34.1667,77.5833,58.69,18,67,7.09,IN
38,inhambane,-23.865,35.3833,66.97,80,1,8.39,MZ
39,sabathu,30.9719,76.9933,72.01,52,12,2.46,IN
40,grand gaube,-20.0064,57.6608,66.99,70,20,5.01,MU
41,iskateley,67.6803,53.1512,66.58,92,98,9.08,RU
42,arraial do cabo,-22.9661,-42.0278,72.73,77,97,21.39,BR
43,saldanha,-33.0117,17.9442,60.8,63,100,14.99,ZA
44,faanui,-16.4833,-151.75,76.35,78,92,26.6,PF
45,lavrentiya,65.5833,-171.0,48.61,81,92,5.26,RU
46,bambous virieux,-20.3428,57.7575,69.8,83,75,12.75,MU
47,thompson,55.7435,-97.8558,75.2,53,90,3.36,CA
48,caravelas,-17.7125,-39.2481,70.12,82,0,3.71,BR
49,beni,0.5,29.4667,61.86,73,69,1.34,CD
50,bilma,18.6853,12.9164,86.14,29,43,6.53,NE
51,san policarpo,12.1791,125.5072,84.27,69,78,4.23,PH
52,rathdrum,47.8137,-116.892,73.0,43,1,5.82,US
53,charagua,-19.8,-63.2167,45.88,60,2,0.83,BO
54,bluff,-46.6,168.3333,49.59,80,100,13.98,NZ
55,itoman,26.1247,127.6694,86.0,84,75,12.75,JP
56,san fernando,15.0286,120.6898,84.2,74,40,4.7,PH
57,guerrero negro,27.9769,-114.0611,73.17,63,9,17.11,MX
58,calbuco,-41.768,-73.1273,42.8,93,90,11.41,CL
59,salalah,17.0151,54.0924,82.4,88,75,3.36,OM
60,gravdal,68.1214,13.5031,50.76,83,71,12.82,NO
61,saint-pierre,-21.3393,55.4781,69.8,56,1,11.41,RE
62,cherskiy,68.75,161.3,72.88,42,100,10.87,RU
63,kodiak,57.79,-152.4072,68.0,42,90,19.46,US
64,bandarbeyla,9.4942,50.8122,80.37,64,0,25.46,SO
65,teguise,29.0605,-13.564,71.6,83,0,21.92,ES
66,thinadhoo,0.5333,72.9333,84.25,70,97,5.97,MV
67,vanimo,-2.6741,141.3028,85.21,66,69,7.25,PG
68,luderitz,-26.6481,15.1594,53.6,93,0,8.05,NA
69,aswan,24.0934,32.907,84.74,27,0,5.73,EG
70,new norfolk,-42.7826,147.0587,43.0,91,87,1.9,AU
71,punta arenas,-53.15,-70.9167,26.6,92,30,6.93,CL
72,deputatskiy,69.3,139.9,49.12,67,92,4.99,RU
73,fortuna,40.5982,-124.1573,64.99,72,20,17.22,US
74,cap malheureux,-19.9842,57.6142,66.99,70,15,5.01,MU
